Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
92.0,4.44,-92.0,516.0
70.0,-4.44,-92.0,516.0
70.0,-4.44,-92.0,516.0
70.0,-4.44,-92.0,516.0
70.0,-4.44,-92.0,516.0
70.0,-4.44,-92.0,516.0
70.0,-4.44,-92.0,516.0
100.0,100.0,100.0,100.0
70.0,-3.44,-92.0,515.0
70.0,-3.63,-92.0,515.0
70.0,-3.75,-92.0,516.0
70.0,-3.88,-92.0,515.0
70.0,-3.94,-92.0,516.0
70.0,-4.06,-92.0,516.0
70.0,-4.13,-92.0,516.0
70.0,-4.19,-92.0,516.0
70.0,-4.25,-92.0,515.0
70.0,-4.31,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,515.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,515.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,515.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,515.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,515.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,515.0
70.0,-4.38,-92.0,515.0
70.0,-4.38,-92.0,516.0
70.0,-4.38,-92.0,516.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,478.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,478.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,478.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,478.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,478.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,478.0
60.0,-16.94,-97.0,478.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,477.0
60.0,-16.94,-97.0,478.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-102.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
50.0,-31.19,-103.0,433.0
50.0,-31.19,-103.0,432.0
40.0,-46.0,-110.0,385.0
40.0,-45.94,-110.0,385.0
40.0,-45.94,-109.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-110.0,384.0
40.0,-45.88,-109.0,386.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-110.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
40.0,-45.88,-109.0,385.0
30.0,-59.69,-117.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.69,-117.0,336.0
30.0,-59.69,-117.0,336.0
30.0,-59.69,-117.0,336.0
30.0,-59.69,-117.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.69,-117.0,336.0
30.0,-59.69,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,336.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
30.0,-59.5,-116.0,337.0
20.0,-73.69,-124.0,289.0
20.0,-73.69,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,290.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,290.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
20.0,-73.62,-124.0,289.0
10.0,-86.25,-131.0,245.0
10.0,-86.19,-131.0,245.0
10.0,-86.19,-131.0,245.0
10.0,-86.19,-131.0,245.0
10.0,-86.19,-131.0,246.0
10.0,-85.87,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,244.0
10.0,-86.0,-131.0,246.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,245.0
10.0,-86.0,-131.0,246.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,287.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,287.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,287.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
20.0,-73.62,-124.0,288.0
