Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.63,-127.0,516.0
70.0,-3.75,-127.0,516.0
70.0,-3.81,-127.0,516.0
70.0,-3.88,-127.0,516.0
70.0,-3.94,-127.0,516.0
70.0,-4.0,-127.0,517.0
70.0,-4.06,-127.0,516.0
70.0,-4.13,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,517.0
70.0,-4.19,-127.0,516.0
70.0,-4.19,-127.0,516.0
70.0,-4.25,-127.0,516.0
70.0,-4.25,-127.0,516.0
70.0,-4.31,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
70.0,-4.38,-127.0,516.0
60.0,-16.87,-133.0,477.0
60.0,-16.87,-132.0,477.0
60.0,-16.94,-133.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,478.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,478.0
60.0,-16.94,-132.0,477.0
60.0,-16.94,-132.0,477.0
60.0,-17.0,-132.0,477.0
60.0,-17.0,-132.0,477.0
60.0,-17.0,-132.0,477.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,434.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,434.0
50.0,-31.06,-139.0,434.0
50.0,-31.06,-138.0,434.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-139.0,434.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,434.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-138.0,434.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,434.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-139.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,433.0
50.0,-31.06,-138.0,434.0
40.0,-46.0,-146.0,385.0
40.0,-45.94,-146.0,385.0
40.0,-45.94,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,384.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,384.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-146.0,384.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-146.0,385.0
40.0,-45.88,-145.0,386.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-145.0,385.0
40.0,-45.88,-145.0,385.0
30.0,-60.5,-153.0,336.0
30.0,-60.44,-153.0,336.0
30.0,-60.38,-153.0,336.0
30.0,-60.31,-153.0,336.0
30.0,-60.31,-153.0,336.0
30.0,-60.25,-153.0,336.0
30.0,-60.25,-153.0,336.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,336.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,336.0
30.0,-60.06,-153.0,336.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,336.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,336.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,336.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,336.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,337.0
30.0,-60.06,-153.0,336.0
